ticker,name,gics_sector,gics_sub_industry,hq,eodhd_ticker
VCYT,"Veracyte, Inc.",Health Care,Health Care Services,"San Francisco, California",VCYT.US
VECO,Veeco Instruments Inc.,Information Technology,Semiconductor Materials & Equipment,"Plainview, New York",VECO.US
VGNT,Versigent PLC,Consumer Discretionary,Other Specialty Retail,"Schaffhausen, Switzerland",VGNT.US
VIAV,VIAVI Solutions,Information Technology,Communications Equipment,"Chandler, Arizona",VIAV.US
VIR,"Vir Biotechnology, Inc.",Health Care,Biotechnology,"San Francisco, California",VIR.US
VIRT,"Virtu Financial, Inc.",Financials,Financial Exchanges & Data,"New York City, New York",VIRT.US
VITL,"Vital Farms, Inc.",Consumer Staples,Agricultural Products & Services,"Austin, Texas",VITL.US
VRE,"Veris Residential, Inc.",Real Estate,Office REITs,"Jersey City, New Jersey",VRE.US
VRRM,Verra Mobility Corporation,Industrials,Data Processing & Outsourced Services,"Mesa, Arizona",VRRM.US
VRTS,"Virtus Investment Partners, Inc.",Financials,Asset Management & Custody Banks,"Hartford, Connecticut",VRTS.US
VSAT,"Viasat, Inc.",Information Technology,Communications Equipment,"Carlsbad, California",VSAT.US
VSCO,Victoria's Secret,Consumer Discretionary,Apparel Retail,"Reynoldsburg, Ohio",VSCO.US
VSEC,VSE Corporation,Industrials,Aerospace & Defense,"Miramar, Florida",VSEC.US
VSH,Vishay Intertechnology,Information Technology,Electronic Components,"Malvern, Pennsylvania",VSH.US
VSNT,"Versant Media Group, Inc.",Communication Services,Cable & Satellite,"Englewood Cliffs, New Jersey",VSNT.US
VSTS,Vestis,Industrials,Diversified Support Services,"Roswell, Georgia",VSTS.US
VTOL,Bristow Group Inc.,Energy,Oil & Gas Equipment & Services,"Houston, Texas",VTOL.US
VYX,NCR Voyix,Information Technology,IT Consulting & Other Services,"Atlanta, Georgia",VYX.US
WABC,Westamerica Bank,Financials,Regional Banks,"San Rafael, California",WABC.US
WAFD,"WaFd, Inc.",Financials,Regional Banks,"Seattle, Washington",WAFD.US
WAY,Waystar Holding Corp,Health Care,Health Care Technology,"Lehi, Utah",WAY.US
WD,"Walker & Dunlop, Inc.",Financials,Commercial & Residential Mortgage Finance,"Bethesda, Maryland",WD.US
WDFC,WD-40 Company,Consumer Staples,Household Products,"San Diego, California",WDFC.US
WEN,The Wendy's Company,Consumer Discretionary,Restaurants,"Dublin, Ohio",WEN.US
WERN,Werner Enterprises,Industrials,Cargo Ground Transportation,"Omaha, Nebraska",WERN.US
WGO,"Winnebago Industries, Inc.",Consumer Discretionary,Automobile Manufacturers,"Eden Prairie, Minnesota",WGO.US
WHD,"Cactus, Inc.",Energy,Oil & Gas Equipment & Services,"Houston, Texas",WHD.US
WINA,Winmark,Consumer Discretionary,Other Specialty Retail,"Minneapolis, Minnesota",WINA.US
WKC,World Kinect Corporation,Energy,Oil & Gas Refining & Marketing,"Doral, Florida",WKC.US
WLY,John Wiley & Sons,Communication Services,Publishing,"Hoboken, New Jersey",WLY.US
WOR,Worthington Enterprises,Industrials,Building Products,"Columbus, Ohio",WOR.US
WRLD,World Acceptance Corporation,Financials,Consumer Finance,"Greenville, South Carolina",WRLD.US
WS,Worthington Steel,Materials,Steel,"Columbus, Ohio",WS.US
WSC,WillScot Holdings Corp.,Industrials,Office Services & Supplies,"Phoenix, Arizona",WSC.US
WSFS,WSFS Financial Corporation,Financials,Regional Banks,"Wilmington, Delaware",WSFS.US
WSR,Whitestone REIT,Real Estate,Retail REITs,"Houston, Texas",WSR.US
WT,"WisdomTree Investments, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York",WT.US
WU,Western Union,Financials,Transaction & Payment Processing Services,"Denver, Colorado",WU.US
WWW,"Wolverine World Wide, Inc.",Consumer Discretionary,Footwear,"Rockford, Michigan",WWW.US
XHR,"Xenia Hotels & Resorts, Inc.",Real Estate,Hotel & Resort REITs,"Orlando, Florida",XHR.US
XNCR,Xencor Inc,Health Care,Biotechnology,"Pasadena, California",XNCR.US
XPEL,"XPEL, Inc.",Consumer Discretionary,Automotive Parts & Equipment,"San Antonio, Texas",XPEL.US
YELP,"Yelp, Inc.",Communication Services,Interactive Media & Services,"San Francisco, California",YELP.US
YOU,"Clear Secure, Inc.",Information Technology,Application Software,"New York City, New York",YOU.US
ZD,Ziff Davis,Communication Services,Advertising,"New York City, New York",ZD.US
ZWS,Zurn Elkay Water Solutions Corp.,Industrials,Industrial Machinery & Supplies & Components,"Milwaukee, Wisconsin",ZWS.US
